year,month,state,price,,,,,,,,,,,,,,,,,,,,
2018,6,KY,10.56,,,,,,,,,,,,,,,,,,,,
2018,6,LA,9.37,,,,,,,,,,,,,,,,,,,,
2018,6,MA,21.10,,,,,,,,,,,,,,,,,,,,
2018,6,MD,13.92,,,,,,,,,,,,,,,,,,,,
2018,6,ME,16.15,,,,,,,,,,,,,,,,,,,,
2018,6,MI,16.07,,,,,,,,,,,,,,,,,,,,
2018,6,MN,14.09,,,,,,,,,,,,,,,,,,,,
2018,6,MO,13.23,,,,,,,,,,,,,,,,,,,,
2018,6,MS,11.55,,,,,,,,,,,,,,,,,,,,
2018,6,MT,11.85,,,,,,,,,,,,,,,,,,,,
2018,6,NC,11.24,,,,,,,,,,,,,,,,,,,,
2018,6,ND,12.07,,,,,,,,,,,,,,,,,,,,
2018,6,NE,11.31,,,,,,,,,,,,,,,,,,,,
2018,6,NH,19.63,,,,,,,,,,,,,,,,,,,,
2018,6,NJ,15.64,,,,,,,,,,,,,,,,,,,,
2018,6,NM,13.37,,,,,,,,,,,,,,,,,,,,
2018,6,NV,11.67,,,,,,,,,,,,,,,,,,,,
2018,6,NY,19.30,,,,,,,,,,,,,,,,,,,,
2018,6,OH,12.64,,,,,,,,,,,,,,,,,,,,
2018,6,OK,10.72,,,,,,,,,,,,,,,,,,,,
2018,6,OR,11.02,,,,,,,,,,,,,,,,,,,,
2018,6,PA,14.31,,,,,,,,,,,,,,,,,,,,
2018,6,RI,18.64,,,,,,,,,,,,,,,,,,,,
2018,6,SC,12.91,,,,,,,,,,,,,,,,,,,,
2018,6,SD,12.39,,,,,,,,,,,,,,,,,,,,
2018,6,TN,10.79,,,,,,,,,,,,,,,,,,,,
2018,6,TX,11.36,,,,,,,,,,,,,,,,,,,,
2018,6,UT,10.63,,,,,,,,,,,,,,,,,,,,
2018,6,VA,12.40,,,,,,,,,,,,,,,,,,,,
2018,6,VT,18.50,,,,,,,,,,,,,,,,,,,,
2018,6,WA,9.79,,,,,,,,,,,,,,,,,,,,
2018,6,WI,14.28,,,,,,,,,,,,,,,,,,,,
2018,6,WV,11.57,,,,,,,,,,,,,,,,,,,,
2018,6,WY,12.30,,,,,,,,,,,,,,,,,,,,
2018,7,AK,23.46,,,,,,,,,,,,,,,,,,,,
2018,7,AL,12.28,,,,,,,,,,,,,,,,,,,,
2018,7,AR,9.98,,,,,,,,,,,,,,,,,,,,
2018,7,AZ,12.92,,,,,,,,,,,,,,,,,,,,
2018,7,CA,19.65,,,,,,,,,,,,,,,,,,,,
2018,7,CO,12.67,,,,,,,,,,,,,,,,,,,,
2018,7,CT,20.88,,,,,,,,,,,,,,,,,,,,
2018,7,DC,12.00,,,,,,,,,,,,,,,,,,,,
2018,7,DE,12.02,,,,,,,,,,,,,,,,,,,,
2018,7,FL,11.29,,,,,,,,,,,,,,,,,,,,
2018,7,GA,12.28,,,,,,,,,,,,,,,,,,,,
2018,7,HI,33.45,,,,,,,,,,,,,,,,,,,,
2018,7,IA,14.50,,,,,,,,,,,,,,,,,,,,
2018,7,ID,10.47,,,,,,,,,,,,,,,,,,,,
2018,7,IL,11.76,,,,,,,,,,,,,,,,,,,,
2018,7,IN,12.05,,,,,,,,,,,,,,,,,,,,
2018,7,KS,13.65,,,,,,,,,,,,,,,,,,,,
2018,7,KY,10.35,,,,,,,,,,,,,,,,,,,,
2018,7,LA,9.68,,,,,,,,,,,,,,,,,,,,
2018,7,MA,20.63,,,,,,,,,,,,,,,,,,,,
2018,7,MD,13.46,,,,,,,,,,,,,,,,,,,,
2018,7,ME,16.31,,,,,,,,,,,,,,,,,,,,
2018,7,MI,15.98,,,,,,,,,,,,,,,,,,,,
2018,7,MN,14.21,,,,,,,,,,,,,,,,,,,,
2018,7,MO,13.12,,,,,,,,,,,,,,,,,,,,
2018,7,MS,10.96,,,,,,,,,,,,,,,,,,,,
2018,7,MT,11.74,,,,,,,,,,,,,,,,,,,,
2018,7,NC,11.43,,,,,,,,,,,,,,,,,,,,
2018,7,ND,11.86,,,,,,,,,,,,,,,,,,,,
2018,7,NE,11.91,,,,,,,,,,,,,,,,,,,,
2018,7,NH,18.88,,,,,,,,,,,,,,,,,,,,
2018,7,NJ,15.50,,,,,,,,,,,,,,,,,,,,
